name_korean,name_english,aroma
사씨카이아,Sassicaia,가죽
사씨카이아,Sassicaia,오크
"씨 스모크, 사우싱 피노 누아","Sea Smoke, Southing Pinot Noir",미네랄
"씨 스모크, 텐 피노누아","Sea Smoke, Ten Pinot Noir",체리
"씨 스모크, 텐 피노누아","Sea Smoke, Ten Pinot Noir",리치
"씨 스모크, 텐 피노누아","Sea Smoke, Ten Pinot Noir",무화과
"세귀노 보르데, 샤블리 프리미에 크뤼 바이용","Seguinot Bordet, Chablis Premier Cru 'Vaillons'",복숭아
"세귀노 보르데, 샤블리 프리미에 크뤼 바이용","Seguinot Bordet, Chablis Premier Cru 'Vaillons'",배
"세귀노 보르데, 샤블리 프리미에 크뤼 바이용","Seguinot Bordet, Chablis Premier Cru 'Vaillons'",멜론
"세귀노 보르데, 샤블리 프리미에 크뤼 바이용","Seguinot Bordet, Chablis Premier Cru 'Vaillons'",흰꽃
"센시즈, 티에리엇 샤도네이","Senses, B.A. Thieriot Chardonnay",미네랄
"센시즈, 티에리엇 샤도네이","Senses, B.A. Thieriot Chardonnay",젖은자갈
"센시즈, 티에리엇 샤도네이","Senses, B.A. Thieriot Chardonnay",서양배
"센시즈, 티에리엇 샤도네이","Senses, B.A. Thieriot Chardonnay",브리오슈
"센시즈, 티에리엇 샤도네이","Senses, B.A. Thieriot Chardonnay",오크
"센시즈, 티에리엇 샤도네이","Senses, B.A. Thieriot Chardonnay",감귤
"센시즈, 티에리엇 샤도네이","Senses, B.A. Thieriot Chardonnay",파인애플
"센시즈, 티에리엇 샤도네이","Senses, B.A. Thieriot Chardonnay",버터
"센시즈, 티에리엇 샤도네이","Senses, B.A. Thieriot Chardonnay",분필
"센시즈, 티에리엇 샤도네이","Senses, B.A. Thieriot Chardonnay",아몬드
"센시즈, 티에리엇 샤도네이","Senses, B.A. Thieriot Chardonnay",복숭아
"센시즈, 러시안 리버 밸리 샤도네이","Senses, Russian River Valley Chardonnay",서양배
"센시즈, 러시안 리버 밸리 샤도네이","Senses, Russian River Valley Chardonnay",복숭아
"센시즈, 러시안 리버 밸리 샤도네이","Senses, Russian River Valley Chardonnay",라임
"센시즈, 러시안 리버 밸리 샤도네이","Senses, Russian River Valley Chardonnay",꽃
"센시즈, 러시안 리버 밸리 샤도네이","Senses, Russian River Valley Chardonnay",버터
"센시즈, 러시안 리버 밸리 샤도네이","Senses, Russian River Valley Chardonnay",백도
"센시즈, 러시안 리버 밸리 샤도네이","Senses, Russian River Valley Chardonnay",자몽
"센시즈, 러시안 리버 밸리 샤도네이","Senses, Russian River Valley Chardonnay",흰꽃
"센시즈, 러시안 리버 밸리 샤도네이","Senses, Russian River Valley Chardonnay",오크
"센시즈, 소노마 코스트 샤도네이","Senses, Sonoma Coast Chardonnay",아몬드
"센시즈, 소노마 코스트 샤도네이","Senses, Sonoma Coast Chardonnay",레몬
"센시즈, 소노마 코스트 샤도네이","Senses, Sonoma Coast Chardonnay",청사과
"센시즈, 소노마 코스트 샤도네이","Senses, Sonoma Coast Chardonnay",건초
"센시즈, 소노마 코스트 샤도네이","Senses, Sonoma Coast Chardonnay",삼나무
"센시즈, 소노마 코스트 샤도네이","Senses, Sonoma Coast Chardonnay",서양배
"센시즈, 소노마 코스트 샤도네이","Senses, Sonoma Coast Chardonnay",버터
"센시즈, 엘 디아블로 샤도네이","Senses, UV EL Diablo Chardonnay",꽃
"센시즈, 엘 디아블로 샤도네이","Senses, UV EL Diablo Chardonnay",비스켓
"센시즈, 엘 디아블로 샤도네이","Senses, UV EL Diablo Chardonnay",오크
"센시즈, 엘 디아블로 샤도네이","Senses, UV EL Diablo Chardonnay",구아바
"센시즈, 엘 디아블로 샤도네이","Senses, UV EL Diablo Chardonnay",흰꽃
"센시즈, 엘 디아블로 샤도네이","Senses, UV EL Diablo Chardonnay",파인애플
"센시즈, 엘 디아블로 샤도네이","Senses, UV EL Diablo Chardonnay",오렌지
"센시즈, 엘 디아블로 샤도네이","Senses, UV EL Diablo Chardonnay",사과
"세븐 힐스, 왈라 왈라 밸리 레드 와인","Seven Hills, Walla Walla Valley Red Wine",자두
"세븐 힐스, 왈라 왈라 밸리 레드 와인","Seven Hills, Walla Walla Valley Red Wine",코코아
"세븐 힐스, 왈라 왈라 밸리 레드 와인","Seven Hills, Walla Walla Valley Red Wine",딸기
"쇼테스브룩, 1337 헤리티지 시리즈 블랑 드 블랑","Shottesbrooke, 1337 Heritage series Blanc de Blancs",아몬드
"살베스트린, 카베르네 소비뇽","Silvestrin, Cabernet Sauvignon",미네랄
"살베스트린, 카베르네 소비뇽","Silvestrin, Cabernet Sauvignon",배
"스프링 마운틴 빈야드, 카베르네 소비뇽 나파 밸리","Spring Mountain Vineyard, Cabernet Sauvignon Napa Valley",라벤더
"스프링 마운틴 빈야드, 카베르네 소비뇽 나파 밸리","Spring Mountain Vineyard, Cabernet Sauvignon Napa Valley",오크
"스프링 마운틴 빈야드, 카베르네 소비뇽 나파 밸리","Spring Mountain Vineyard, Cabernet Sauvignon Napa Valley",허브
생 수페리 엘루,St-Supery ELU,자두
생 수페리 엘루,St-Supery ELU,흑연
스톤스트릿 에스테이트 빈야드 락폴 빈야드 카베르네 소비뇽,Stonestreet Estate Vineyards Rockfall Vineyard Cabernet Sauvignon,초콜릿
"설리반, 쾨르 드 비뉴 루더포드 카베르네 소비뇽","Sullivan, Coeur de Vigne Rutherford Cabernet Sauvignon",자두
"설리반, 쾨르 드 비뉴 루더포드 카베르네 소비뇽","Sullivan, Coeur de Vigne Rutherford Cabernet Sauvignon",정향
"수사나 발보 와인스, 크리오스 말벡","Susana Balbo Wines, Crios Malbec",잼
"수사나 발보 와인스, 크리오스 말벡","Susana Balbo Wines, Crios Malbec",블랙체리
"수사나 발보 와인스, 크리오스 말벡","Susana Balbo Wines, Crios Malbec",제비꽃
"수사나 발보 와인스, 크리오스 말벡","Susana Balbo Wines, Crios Malbec",시나몬
"수사나 발보 와인스, 크리오스 말벡","Susana Balbo Wines, Crios Malbec",바닐라
"수사나 발보 와인스, 크리오스 말벡","Susana Balbo Wines, Crios Malbec",체리
"수사나 발보 와인스, 크리오스 말벡","Susana Balbo Wines, Crios Malbec",블랙베리
"수사나 발보 와인스, 크리오스 말벡","Susana Balbo Wines, Crios Malbec",꽃
"수사나 발보 와인스, 크리오스 말벡","Susana Balbo Wines, Crios Malbec",블루베리
"떼땅져, 꽁뜨 드 상파뉴 블랑 드 블랑 브뤼","Taittinger, Comtes de Champagne Blanc de Blancs Brut",오크
"떼땅져, 꽁뜨 드 상파뉴 블랑 드 블랑 브뤼","Taittinger, Comtes de Champagne Blanc de Blancs Brut",꽃
"떼땅져, 꽁뜨 드 상파뉴 블랑 드 블랑 브뤼","Taittinger, Comtes de Champagne Blanc de Blancs Brut",배
"떼땅져, 꽁뜨 드 상파뉴 블랑 드 블랑 브뤼","Taittinger, Comtes de Champagne Blanc de Blancs Brut",아몬드
"떼땅져, 레 폴리 드 라 마케트리","Taittinger, Les Folies de la Marquetterie",청사과
"떼땅져, 레 폴리 드 라 마케트리","Taittinger, Les Folies de la Marquetterie",브리오슈
"떼땅져, 레 폴리 드 라 마케트리","Taittinger, Les Folies de la Marquetterie",미네랄
"떼땅져, 레 폴리 드 라 마케트리","Taittinger, Les Folies de la Marquetterie",시트러스
"떼땅져, 녹턴 시티 라이트","Taittinger, Nocturne City Light",건포도
"떼땅져, 녹턴 시티 라이트","Taittinger, Nocturne City Light",효모
"떼땅져, 녹턴 시티 라이트","Taittinger, Nocturne City Light",꽃
"떼땅져, 녹턴 시티 라이트","Taittinger, Nocturne City Light",시트러스
"떼땅져, 프렐뤼드 그랑 크뤼","Taittinger, Prelude Grands Crus",미네랄
"떼땅져, 프렐뤼드 그랑 크뤼","Taittinger, Prelude Grands Crus",꽃
"떼땅져, 프렐뤼드 그랑 크뤼","Taittinger, Prelude Grands Crus",시나몬
"떼땅져, 리저브 브뤼","Taittinger, Reserve Brut",브리오슈
"떼땅져, 리저브 브뤼","Taittinger, Reserve Brut",바닐라
"떼땅져, 리저브 브뤼","Taittinger, Reserve Brut",시트러스
"떼땅져, 리저브 브뤼","Taittinger, Reserve Brut",복숭아
"테 마타, 에스테이트 소비뇽 블랑",Te Mata. Estate Sauvignon Blanc,고수
"테 마타, 에스테이트 소비뇽 블랑",Te Mata. Estate Sauvignon Blanc,바질
"테 마타, 에스테이트 소비뇽 블랑",Te Mata. Estate Sauvignon Blanc,라임
"테 마타, 에스테이트 소비뇽 블랑",Te Mata. Estate Sauvignon Blanc,허브
"테 마타, 에스테이트 소비뇽 블랑",Te Mata. Estate Sauvignon Blanc,멜론
"테 마타, 에스테이트 소비뇽 블랑",Te Mata. Estate Sauvignon Blanc,구아바
"테 마타, 에스테이트 소비뇽 블랑",Te Mata. Estate Sauvignon Blanc,패션프루트
"테네트, GSM","Tenet, GSM",배
"테누타 산 귀도, 레 디페제","Tenuta San Guido, Le Difese",허브
"테누타 산 귀도, 레 디페제","Tenuta San Guido, Le Difese",체리
"테누타 산 안토니오, 스카이아 코르비나","Tenuta Sant' Antonio, Scaia Corvina",배
"더 힐트, 벤트록 피노누아","The hilt, Bemtrock Pinot Noir",체리
"더 힐트, 벤트록 피노누아","The hilt, Bemtrock Pinot Noir",자두
"더 힐트, 벤트록 피노누아","The hilt, Bemtrock Pinot Noir",꽃
"더 힐트, 벤트록 피노누아","The hilt, Bemtrock Pinot Noir",후추
"더 힐트, 벤트록 피노누아","The hilt, Bemtrock Pinot Noir",석류
"더 힐트, 벤트록 피노누아","The hilt, Bemtrock Pinot Noir",허브
"더 힐트, 벤트록 피노누아","The hilt, Bemtrock Pinot Noir",버섯
"더 힐트, 벤트록 피노누아","The hilt, Bemtrock Pinot Noir",로즈마리
"더 힐트, 벤트록 피노누아","The hilt, Bemtrock Pinot Noir",간장
"더 힐트, 벤트록 샤도네이","The hilt, Bentrock Chardonnay",자두
"더 힐트, 벤트록 샤도네이","The hilt, Bentrock Chardonnay",살구
"더 힐트, 벤트록 샤도네이","The hilt, Bentrock Chardonnay",아몬드
"더 힐트, 벤트록 샤도네이","The hilt, Bentrock Chardonnay",허브
"더 힐트, 벤트록 샤도네이","The hilt, Bentrock Chardonnay",오렌지
"더 힐트, 벤트록 샤도네이","The hilt, Bentrock Chardonnay",사과
"더 힐트, 벤트록 샤도네이","The hilt, Bentrock Chardonnay",라벤더
"더 힐트, 벤트록 샤도네이","The hilt, Bentrock Chardonnay",흰꽃
"더 힐트, 벤트록 샤도네이","The hilt, Bentrock Chardonnay",오크
"더 힐트, 벤트록 샤도네이","The hilt, Bentrock Chardonnay",브리오슈
"더 힐트, 벤트록 샤도네이","The hilt, Bentrock Chardonnay",서양배
"더 힐트, 이스테이트 샤도네이","The Hilt, Estate Chardonnay",오렌지
"더 힐트, 이스테이트 샤도네이","The Hilt, Estate Chardonnay",크림
"더 힐트, 이스테이트 샤도네이","The Hilt, Estate Chardonnay",버터
"더 힐트, 이스테이트 샤도네이","The Hilt, Estate Chardonnay",삼나무
"더 힐트, 이스테이트 샤도네이","The Hilt, Estate Chardonnay",황도
"더 힐트, 이스테이트 샤도네이","The Hilt, Estate Chardonnay",시트러스
"더 힐트, 이스테이트 샤도네이","The Hilt, Estate Chardonnay",복숭아
"더 힐트, 이스테이트 샤도네이","The Hilt, Estate Chardonnay",오크
"더 힐트, 이스테이트 샤도네이","The Hilt, Estate Chardonnay",비스켓
"더 힐트, 이스테이트 피노 누아","The Hilt, Estate Pinot Noir",오크
"더 힐트, 이스테이트 피노 누아","The Hilt, Estate Pinot Noir",체리
"더 힐트, 이스테이트 피노 누아","The Hilt, Estate Pinot Noir",흙
"더 힐트, 이스테이트 피노 누아","The Hilt, Estate Pinot Noir",미네랄
"더 힐트, 이스테이트 피노 누아","The Hilt, Estate Pinot Noir",장미
"더 힐트, 이스테이트 피노 누아","The Hilt, Estate Pinot Noir",허브
"더 힐트, 이스테이트 피노 누아","The Hilt, Estate Pinot Noir",딸기
"더 힐트, 이스테이트 피노 누아","The Hilt, Estate Pinot Noir",세이지
"더 힐트, 이스테이트 피노 누아","The Hilt, Estate Pinot Noir",레드커런트
"더 힐트, 라디안 샤도네이","The Hilt, Radian Chardonnay",시트러스
"더 힐트, 라디안 샤도네이","The Hilt, Radian Chardonnay",레몬그라스
"더 힐트, 라디안 샤도네이","The Hilt, Radian Chardonnay",열대과일
"더 힐트, 라디안 샤도네이","The Hilt, Radian Chardonnay",오렌지
"더 힐트, 라디안 샤도네이","The Hilt, Radian Chardonnay",허브
"더 힐트, 라디안 샤도네이","The Hilt, Radian Chardonnay",레몬
"더 힐트, 라디안 샤도네이","The Hilt, Radian Chardonnay",비스켓
"더 힐트, 라디안 샤도네이","The Hilt, Radian Chardonnay",서양배
"더 힐트, 라디안 샤도네이","The Hilt, Radian Chardonnay",캐모마일
"더 힐트, 라디안 샤도네이","The Hilt, Radian Chardonnay",꿀
"더 힐트, 라디안 피노 누아","The Hilt, Radian Pinot Noir",블랙베리
"더 힐트, 라디안 피노 누아","The Hilt, Radian Pinot Noir",자두
"더 힐트, 라디안 피노 누아","The Hilt, Radian Pinot Noir",젖은흙
"더 힐트, 라디안 피노 누아","The Hilt, Radian Pinot Noir",에스프레소
"더 힐트, 라디안 피노 누아","The Hilt, Radian Pinot Noir",낙엽
"더 힐트, 라디안 피노 누아","The Hilt, Radian Pinot Noir",홍차
"더 힐트, 라디안 피노 누아","The Hilt, Radian Pinot Noir",블랙커런트
"더 힐트, 라디안 피노 누아","The Hilt, Radian Pinot Noir",라벤더
"더 힐트, 라디안 피노 누아","The Hilt, Radian Pinot Noir",블랙체리
"더 힐트, 라디안 피노 누아","The Hilt, Radian Pinot Noir",동물
"더 힐트, 라디안 피노 누아","The Hilt, Radian Pinot Noir",민트
"더 힐트, 라디안 피노 누아","The Hilt, Radian Pinot Noir",후추
"띠에라 로하, 까베르네 쇼비뇽 오크빌","Tierra Roja, Cabernet Sauvignon Oakville",타바코
"띠에라 로하, 까베르네 쇼비뇽 오크빌","Tierra Roja, Cabernet Sauvignon Oakville",블루베리
"띠에라 로하, 까베르네 쇼비뇽 오크빌","Tierra Roja, Cabernet Sauvignon Oakville",세이지
"띠에라 로하, 까베르네 쇼비뇽 오크빌","Tierra Roja, Cabernet Sauvignon Oakville",흑연
"티나치, 아마로네 델라 발포리첼라","Tinazzi, Amarone della Valpolicella",레드커런트
"티나치, 아마로네 델라 발포리첼라","Tinazzi, Amarone della Valpolicella",크랜베리
"티나치, 아마로네 델라 발포리첼라","Tinazzi, Amarone della Valpolicella",바닐라
"티나치, 아마로네 델라 발포리첼라","Tinazzi, Amarone della Valpolicella",초콜릿
"티나치, 아마로네 델라 발포리첼라","Tinazzi, Amarone della Valpolicella",시나몬
"티나치, 아마로네 델라 발포리첼라","Tinazzi, Amarone della Valpolicella",자두
"티나치, 아마로네 델라 발포리첼라","Tinazzi, Amarone della Valpolicella",오크
"티나치, 아마로네 델라 발포리첼라","Tinazzi, Amarone della Valpolicella",말린자두
"티나치, 아마로네 델라 발포리첼라","Tinazzi, Amarone della Valpolicella",체리
"타이투스 빈야드, 카베르네 소비뇽","Titus Vineyards, Cabernet Sauvignon",감초
"타이투스 빈야드, 카베르네 소비뇽","Titus Vineyards, Cabernet Sauvignon",커피
